---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.79300625
mean_fail_rate: 0.138075
mean_sloth_rate: 0.06891875
recall_50: 0.7978
recall_90: 0.7084
mean_wall_collisions: 8.5177875
mean_inefficient_turns: 17.5884
mean_inefficient_revisits: 2.4706875
mean_distance_inefficiency: 2.0011098372560996
mean_closure_inefficiency: 1.1510811155927796
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.70525
mean_fail_rate: 0.20490625
mean_sloth_rate: 0.08984375
recall_50: 0.709
recall_90: 0.512
mean_wall_collisions: 11.4703125
mean_inefficient_turns: 24.98828125
mean_inefficient_revisits: 3.64684375
mean_distance_inefficiency: 2.982039203133027
mean_closure_inefficiency: 1.2965413511911024
---------------------------------------------------------------
Maze 101| Su: 0.90625| Fa: 0.0625| Sl: 0.03125| WC: 5.15625| IT: 9.875| IR: 1.59375| DI: 1.6807657859382| CI: 1.0344827586206897
Maze 102| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.9375| IT: 1.0625| IR: 0.0| DI: 1.16640625| CI: 1.12890625
Maze 103| Su: 0.8125| Fa: 0.1875| Sl: 0.0| WC: 1.59375| IT: 5.6875| IR: 0.28125| DI: 1.4500101347927437| CI: 1.0384615384615385
Maze 104| Su: 0.0625| Fa: 0.90625| Sl: 0.03125| WC: 7.125| IT: 15.1875| IR: 1.59375| DI: 5.4288461538461545| CI: 9.86111111111111
Maze 105| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.90625| IT: 1.71875| IR: 0.0| DI: 1.2084892070863433| CI: 1.046875
Maze 106| Su: 0.75| Fa: 0.125| Sl: 0.125| WC: 16.84375| IT: 33.09375| IR: 4.75| DI: 1.7344436209925345| CI: 1.273611111111111
Maze 107| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.625| IT: 0.96875| IR: 0.0| DI: 1.3033854166666665| CI: 1.1989583333333333
Maze 108| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.90625| IT: 2.03125| IR: 0.03125| DI: 1.3176443713450294| CI: 1.078125
Maze 109| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.09375| IT: 1.3125| IR: 0.0| DI: 1.3288825757575757| CI: 1.1458333333333333
Maze 110| Su: 0.96875| Fa: 0.0| Sl: 0.03125| WC: 4.84375| IT: 10.15625| IR: 1.90625| DI: 1.7883984153933221| CI: 1.1290322580645158
Maze 111| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.625| IT: 0.71875| IR: 0.0| DI: 1.2790178571428572| CI: 1.2135416666666667
Maze 112| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.8125| IT: 2.25| IR: 0.03125| DI: 1.4632268772893773| CI: 1.1458333333333333
Maze 113| Su: 0.15625| Fa: 0.46875| Sl: 0.375| WC: 37.96875| IT: 78.71875| IR: 13.25| DI: 1.9230440967283073| CI: 1.0
Maze 114| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 1.65625| IT: 5.625| IR: 0.34375| DI: nan| CI: nan
Maze 115| Su: 0.0| Fa: 0.0625| Sl: 0.9375| WC: 93.625| IT: 172.6875| IR: 28.5625| DI: nan| CI: nan
Maze 116| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.1875| IT: 1.96875| IR: 0.0625| DI: 1.2362554112554112| CI: 1.09375
Maze 117| Su: 0.84375| Fa: 0.125| Sl: 0.03125| WC: 7.71875| IT: 14.46875| IR: 1.65625| DI: 1.3353086419753086| CI: 1.1296296296296295
Maze 118| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 3.40625| IT: 6.21875| IR: 0.0625| DI: 1.553608488414523| CI: 1.6875
Maze 119| Su: 0.03125| Fa: 0.96875| Sl: 0.0| WC: 3.875| IT: 7.625| IR: 1.15625| DI: 10.93939393939394| CI: 1.0
Maze 120| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 1.125| IT: 3.8125| IR: 0.15625| DI: nan| CI: nan
Maze 121| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.125| IT: 1.9375| IR: 0.0| DI: 1.1808493589743592| CI: 1.0729166666666667
Maze 122| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.28125| IT: 1.125| IR: 0.0| DI: 1.1449032738095237| CI: 1.0708333333333335
Maze 123| Su: 0.8125| Fa: 0.0| Sl: 0.1875| WC: 21.25| IT: 44.5625| IR: 7.5625| DI: 2.0890361272714215| CI: 1.0384615384615385
Maze 124| Su: 0.84375| Fa: 0.03125| Sl: 0.125| WC: 16.0625| IT: 29.84375| IR: 5.28125| DI: 1.9207969670932636| CI: 1.037037037037037
Maze 125| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.3125| IT: 2.1875| IR: 0.03125| DI: 1.5366195820433437| CI: 1.0703125
Maze 126| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 0.5625| IR: 0.0| DI: 1.1765151515151515| CI: 1.140625
Maze 127| Su: 0.1875| Fa: 0.8125| Sl: 0.0| WC: 4.46875| IT: 9.75| IR: 0.53125| DI: 2.6029411764705883| CI: 1.0416666666666667
Maze 128| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.21875| IT: 4.1875| IR: 0.0625| DI: 1.60015533625731| CI: 1.0745535714285714
Maze 129| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.625| IT: 0.875| IR: 0.0| DI: 1.2038194444444446| CI: 1.1041666666666665
Maze 130| Su: 0.96875| Fa: 0.0| Sl: 0.03125| WC: 4.9375| IT: 12.375| IR: 1.125| DI: 1.504231703087062| CI: 1.0
Maze 131| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.0625| IT: 2.71875| IR: 0.0| DI: 1.35109649122807| CI: 1.1041666666666665
Maze 132| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 3.28125| IT: 6.84375| IR: 0.1875| DI: 1.523778735632184| CI: 1.0
Maze 133| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.71875| IT: 3.4375| IR: 0.0| DI: 1.4336320465686274| CI: 1.0885416666666665
Maze 134| Su: 0.0| Fa: 0.96875| Sl: 0.03125| WC: 4.34375| IT: 11.90625| IR: 1.1875| DI: nan| CI: nan
Maze 135| Su: 0.15625| Fa: 0.84375| Sl: 0.0| WC: 1.96875| IT: 4.5625| IR: 0.5| DI: 2.6470769230769227| CI: 1.1333333333333333
Maze 136| Su: 0.0| Fa: 0.96875| Sl: 0.03125| WC: 5.96875| IT: 13.59375| IR: 2.09375| DI: nan| CI: nan
Maze 137| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.4375| IT: 2.4375| IR: 0.03125| DI: 1.7091126253132831| CI: 1.0
Maze 138| Su: 0.875| Fa: 0.125| Sl: 0.0| WC: 4.625| IT: 7.125| IR: 0.5625| DI: 1.8736406186406185| CI: 1.1441326530612244
Maze 139| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 1.3125| IT: 2.46875| IR: 0.21875| DI: 1.7896383186705769| CI: 1.5376344086021507
Maze 140| Su: 0.9375| Fa: 0.0| Sl: 0.0625| WC: 5.59375| IT: 18.25| IR: 1.625| DI: 1.4856060606060606| CI: 1.0666666666666667
Maze 141| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.28125| IT: 0.53125| IR: 0.0| DI: 1.203125| CI: 1.1484375
Maze 142| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.53125| IT: 0.46875| IR: 0.0| DI: 1.2725074404761905| CI: 1.0625
Maze 143| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.25| IT: 1.59375| IR: 0.0| DI: 1.2424300449346406| CI: 1.0729166666666667
Maze 144| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 1.15625| IT: 2.46875| IR: 0.09375| DI: 1.3138248847926266| CI: 1.1763440860215055
Maze 145| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.9375| IT: 1.84375| IR: 0.03125| DI: 1.400440705128205| CI: 1.13125
Maze 146| Su: 0.8125| Fa: 0.1875| Sl: 0.0| WC: 0.9375| IT: 2.28125| IR: 0.125| DI: 1.3261904761904761| CI: 1.0934065934065933
Maze 147| Su: 0.03125| Fa: 0.25| Sl: 0.71875| WC: 66.9375| IT: 143.59375| IR: 21.3125| DI: 1.7560975609756098| CI: 1.0
Maze 148| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 2.53125| IT: 4.5| IR: 0.03125| DI: 1.3376000542667212| CI: 1.1
