---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.23335625
mean_fail_rate: 0.1890875
mean_sloth_rate: 0.57755625
recall_50: 0.1776
recall_90: 0.0374
mean_wall_collisions: 74.35353125
mean_inefficient_turns: 141.7553625
mean_inefficient_revisits: 19.7871875
mean_distance_inefficiency: 17.789413402373945
mean_closure_inefficiency: 20.581673421572095
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.224875
mean_fail_rate: 0.1868125
mean_sloth_rate: 0.5883125
recall_50: 0.166
recall_90: 0.033
mean_wall_collisions: 74.63578125
mean_inefficient_turns: 142.670875
mean_inefficient_revisits: 19.928
mean_distance_inefficiency: 17.636611689086465
mean_closure_inefficiency: 20.6218783268455
---------------------------------------------------------------
Maze 125| Su: 0.0625| Fa: 0.59375| Sl: 0.34375| WC: 63.1875| IT: 115.34375| IR: 14.875| DI: 19.369281045751634| CI: 21.833333333333332
Maze 126| Su: 0.25| Fa: 0.09375| Sl: 0.65625| WC: 75.90625| IT: 156.3125| IR: 21.75| DI: 32.94570707070707| CI: 33.916666666666664
Maze 127| Su: 0.28125| Fa: 0.1875| Sl: 0.53125| WC: 80.3125| IT: 151.59375| IR: 20.4375| DI: 18.187898941252918| CI: 18.75
Maze 128| Su: 0.125| Fa: 0.3125| Sl: 0.5625| WC: 70.75| IT: 161.875| IR: 19.9375| DI: 17.95497076023392| CI: 16.847916666666666
Maze 129| Su: 0.8125| Fa: 0.0| Sl: 0.1875| WC: 56.59375| IT: 96.84375| IR: 10.84375| DI: 21.17801087801088| CI: 25.153846153846153
Maze 130| Su: 0.03125| Fa: 0.0625| Sl: 0.90625| WC: 94.0625| IT: 177.6875| IR: 29.4375| DI: 16.566666666666666| CI: 1.5
Maze 131| Su: 0.03125| Fa: 0.21875| Sl: 0.75| WC: 83.40625| IT: 172.25| IR: 23.3125| DI: 12.476190476190476| CI: 5.166666666666667
Maze 132| Su: 0.03125| Fa: 0.0| Sl: 0.96875| WC: 103.15625| IT: 180.96875| IR: 26.6875| DI: 6.806451612903226| CI: 3.5
Maze 133| Su: 0.09375| Fa: 0.125| Sl: 0.78125| WC: 90.59375| IT: 175.65625| IR: 23.625| DI: 23.723039215686274| CI: 19.11111111111111
Maze 134| Su: 0.0| Fa: 0.5625| Sl: 0.4375| WC: 68.6875| IT: 125.84375| IR: 16.28125| DI: nan| CI: nan
Maze 135| Su: 0.03125| Fa: 0.90625| Sl: 0.0625| WC: 29.21875| IT: 55.21875| IR: 6.78125| DI: 17.32| CI: 30.666666666666668
