---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.59031875
mean_fail_rate: 0.356
mean_sloth_rate: 0.05368125
recall_50: 0.5874
recall_90: 0.4568
mean_wall_collisions: 4.618125
mean_inefficient_turns: 19.905525
mean_inefficient_revisits: 3.1005125
mean_distance_inefficiency: 2.185398778316996
mean_closure_inefficiency: 1.3201487847787206
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.517875
mean_fail_rate: 0.42340625
mean_sloth_rate: 0.05871875
recall_50: 0.514
recall_90: 0.369
mean_wall_collisions: 4.81996875
mean_inefficient_turns: 21.224875
mean_inefficient_revisits: 3.20846875
mean_distance_inefficiency: 2.396107221778016
mean_closure_inefficiency: 1.7350185015753505
---------------------------------------------------------------
Maze 106| Su: 0.375| Fa: 0.625| Sl: 0.0| WC: 3.28125| IT: 8.125| IR: 0.96875| DI: 1.6090524813350902| CI: 1.0476190476190477
Maze 107| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5625| IT: 0.9375| IR: 0.0| DI: 1.2881324404761905| CI: 1.275
Maze 108| Su: 0.15625| Fa: 0.84375| Sl: 0.0| WC: 2.5625| IT: 12.78125| IR: 0.8125| DI: 4.355555555555555| CI: 1.2
Maze 109| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.625| IT: 1.375| IR: 0.03125| DI: 1.2886363636363636| CI: 1.1354166666666665
Maze 110| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 3.5625| IT: 12.6875| IR: 2.125| DI: 2.692827119883041| CI: 1.2455357142857144
Maze 111| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.46875| IT: 0.8125| IR: 0.0| DI: 1.2607886904761905| CI: 1.2354166666666666
Maze 112| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.4375| IT: 3.40625| IR: 0.125| DI: 1.5731169871794872| CI: 1.5572916666666665
Maze 113| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 3.75| IT: 12.03125| IR: 0.84375| DI: nan| CI: nan
Maze 114| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 1.46875| IT: 6.96875| IR: 0.625| DI: nan| CI: nan
Maze 115| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 5.40625| IT: 14.0625| IR: 2.625| DI: nan| CI: nan
Maze 116| Su: 0.8125| Fa: 0.1875| Sl: 0.0| WC: 1.625| IT: 6.90625| IR: 0.1875| DI: 1.7301864801864801| CI: 1.1474358974358974
Maze 117| Su: 0.625| Fa: 0.28125| Sl: 0.09375| WC: 10.96875| IT: 34.6875| IR: 4.0625| DI: 1.985794871794872| CI: 1.4241666666666668
Maze 118| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 5.09375| IT: 16.28125| IR: 2.65625| DI: 2.749598613391717| CI: 1.0095238095238095
Maze 119| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 0.6875| IT: 1.5| IR: 0.03125| DI: nan| CI: nan
Maze 120| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 0.6875| IT: 2.21875| IR: 0.03125| DI: nan| CI: nan
Maze 121| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 1.96875| IT: 5.625| IR: 0.46875| DI: nan| CI: nan
Maze 122| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.4375| IT: 2.03125| IR: 0.15625| DI: 1.377845982142857| CI: 1.2697916666666667
Maze 123| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 10.15625| IT: 74.625| IR: 7.46875| DI: nan| CI: nan
Maze 124| Su: 0.5625| Fa: 0.1875| Sl: 0.25| WC: 26.59375| IT: 100.8125| IR: 28.6875| DI: 8.734827929272376| CI: 1.1944444444444444
Maze 125| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 1.40625| IT: 5.59375| IR: 0.21875| DI: nan| CI: nan
Maze 126| Su: 0.9375| Fa: 0.0| Sl: 0.0625| WC: 3.71875| IT: 22.09375| IR: 2.125| DI: 2.242087542087542| CI: 2.444444444444444
Maze 127| Su: 0.25| Fa: 0.75| Sl: 0.0| WC: 1.6875| IT: 3.875| IR: 0.34375| DI: 1.3554566563467492| CI: 1.03125
Maze 128| Su: 0.90625| Fa: 0.09375| Sl: 0.0| WC: 2.125| IT: 8.4375| IR: 0.875| DI: 2.2558580358943336| CI: 1.767241379310345
Maze 129| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.40625| IT: 1.78125| IR: 0.0| DI: 1.4324810606060607| CI: 1.3697916666666665
Maze 130| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 3.71875| IT: 12.375| IR: 1.0625| DI: nan| CI: nan
Maze 131| Su: 0.6875| Fa: 0.28125| Sl: 0.03125| WC: 11.0625| IT: 55.53125| IR: 4.125| DI: 5.66610275689223| CI: 1.1363636363636365
