---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.99975
mean_fail_rate: 0.00025
mean_sloth_rate: 0.0
recall_50: 1.0
recall_90: 1.0
mean_wall_collisions: 0.45396875
mean_inefficient_turns: 1.2418125
mean_inefficient_revisits: 0.016625
mean_distance_inefficiency: 1.2902876496315283
mean_closure_inefficiency: 1.1980275607233268
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.99890625
mean_fail_rate: 0.0009375
mean_sloth_rate: 0.00015625
recall_50: 1.0
recall_90: 1.0
mean_wall_collisions: 0.55234375
mean_inefficient_turns: 1.85109375
mean_inefficient_revisits: 0.17
mean_distance_inefficiency: 1.447784411805743
mean_closure_inefficiency: 1.2429387501009854
---------------------------------------------------------------
Maze 122| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.0| IT: 3.21875| IR: 0.0625| DI: 1.3673917483660132| CI: 1.1953125
Maze 123| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.3125| IT: 0.59375| IR: 0.0| DI: 1.2984375| CI: 1.2786458333333333
Maze 124| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.78125| IT: 2.28125| IR: 0.0| DI: 1.297079613095238| CI: 1.1640625
Maze 125| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.3125| IT: 0.6875| IR: 0.0| DI: 1.3083333333333331| CI: 1.3072916666666667
Maze 126| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.375| IT: 1.09375| IR: 0.0| DI: 1.2986111111111112| CI: 1.2890625
Maze 127| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.53125| IT: 2.28125| IR: 0.0| DI: 1.401373106060606| CI: 1.1583333333333332
Maze 128| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.03125| IT: 3.5| IR: 0.125| DI: 1.3627235982112142| CI: 1.0625
Maze 129| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 0.75| IR: 0.0| DI: 1.24375| CI: 1.375
Maze 130| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.625| IT: 1.53125| IR: 0.0| DI: 1.2042596726190475| CI: 1.171875
Maze 131| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 1.625| IR: 0.03125| DI: 1.6711929563492063| CI: 1.03125
Maze 132| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.9375| IT: 2.375| IR: 0.03125| DI: 1.306640625| CI: 1.1997767857142858
Maze 133| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.46875| IT: 1.125| IR: 0.0| DI: 1.6480654761904763| CI: 1.1328125
Maze 134| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.6875| IT: 1.1875| IR: 0.0| DI: 1.2278724747474747| CI: 1.1302083333333335
Maze 135| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.78125| IT: 3.65625| IR: 0.0625| DI: 1.354231166150671| CI: 1.15625
Maze 136| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.46875| IT: 0.84375| IR: 0.0| DI: 1.2278645833333335| CI: 1.234375
Maze 137| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.1875| IT: 0.84375| IR: 0.0| DI: 1.25| CI: 1.3046875
Maze 138| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5625| IT: 0.78125| IR: 0.0| DI: 1.2039310515873014| CI: 1.1875
Maze 139| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.3125| IT: 0.75| IR: 0.0| DI: 1.2572916666666667| CI: 1.2682291666666667
Maze 140| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.3125| IT: 0.625| IR: 0.0| DI: 1.3010416666666664| CI: 1.2265625
Maze 141| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 0.84375| IR: 0.0| DI: 1.1936383928571428| CI: 1.1953125
Maze 142| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.40625| IT: 2.03125| IR: 0.0| DI: 1.23125| CI: 1.125
Maze 143| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.375| IT: 1.46875| IR: 0.0| DI: 1.3572668650793651| CI: 1.09375
Maze 144| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.46875| IT: 1.4375| IR: 0.0625| DI: 1.5285714285714285| CI: 1.3152777777777778
Maze 145| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.4375| IT: 0.96875| IR: 0.0| DI: 1.2484499007936507| CI: 1.1875
Maze 146| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.21875| IT: 0.3125| IR: 0.0| DI: 1.2098958333333334| CI: 1.1041666666666667
Maze 147| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.1875| IT: 0.8125| IR: 0.0| DI: 1.2942708333333335| CI: 1.1614583333333335
Maze 148| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.46875| IT: 0.71875| IR: 0.0| DI: 1.1984374999999998| CI: 1.1375000000000002
Maze 149| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.40625| IT: 0.90625| IR: 0.0| DI: 1.2712053571428572| CI: 1.2614583333333336
