---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.99865625
mean_fail_rate: 0.00125
mean_sloth_rate: 9.375e-05
recall_50: 1.0
recall_90: 0.999
mean_wall_collisions: 0.49715625
mean_inefficient_turns: 0.89634375
mean_inefficient_revisits: 0.06046875
mean_distance_inefficiency: 1.2641522082986272
mean_closure_inefficiency: 1.1498397963913962
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.99328125
mean_fail_rate: 0.0065625
mean_sloth_rate: 0.00015625
recall_50: 0.995
recall_90: 0.99
mean_wall_collisions: 0.64875
mean_inefficient_turns: 1.3896875
mean_inefficient_revisits: 0.2125
mean_distance_inefficiency: 1.4266941697191005
mean_closure_inefficiency: 1.1793095623479775
---------------------------------------------------------------
Maze 112| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.09375| IT: 0.125| IR: 0.0| DI: 1.0723958333333332| CI: 1.015625
Maze 113| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.0625| IT: 0.625| IR: 0.0| DI: 1.184950466200466| CI: 1.0
Maze 114| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5| IT: 0.28125| IR: 0.0| DI: 1.0788194444444446| CI: 1.09375
Maze 115| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.03125| IT: 0.8125| IR: 0.125| DI: 1.2320169413919413| CI: 1.1015625
Maze 116| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.375| IT: 0.75| IR: 0.0| DI: 1.2019097222222221| CI: 1.15625
Maze 117| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.125| IT: 0.9375| IR: 0.0| DI: 1.2163690476190476| CI: 1.2291666666666667
Maze 118| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 0.84375| IR: 0.0| DI: 1.1649621212121213| CI: 1.125
Maze 119| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5625| IT: 0.90625| IR: 0.0| DI: 1.165665064102564| CI: 1.046875
Maze 120| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.375| IT: 0.375| IR: 0.0| DI: 1.1645833333333333| CI: 1.0
Maze 121| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.96875| IT: 1.125| IR: 0.09375| DI: 1.4511217948717947| CI: 1.0
Maze 122| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.1875| IT: 1.6875| IR: 0.21875| DI: 1.2757863562091505| CI: 1.0625
Maze 123| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 0.4375| IR: 0.0| DI: 1.1526041666666667| CI: 1.125
Maze 124| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.4375| IT: 1.03125| IR: 0.125| DI: 1.1566592261904762| CI: 1.03125
Maze 125| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 0.84375| IR: 0.0| DI: 1.25| CI: 1.265625
