---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.997325
mean_fail_rate: 0.00265625
mean_sloth_rate: 1.875e-05
recall_50: 1.0
recall_90: 0.997
mean_wall_collisions: 0.094125
mean_inefficient_turns: 2.4091
mean_inefficient_revisits: 0.24433125
mean_exploitation_inefficiency: 1.7623771703876088
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.99725
mean_fail_rate: 0.0026875
mean_sloth_rate: 6.25e-05
recall_50: 1.0
recall_90: 1.0
mean_wall_collisions: 0.11125
mean_inefficient_turns: 3.20765625
mean_inefficient_revisits: 0.46803125
mean_exploitation_inefficiency: 2.3000118739348276
---------------------------------------------------------------
Maze 68| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.3125| IT: 4.78125| IR: 0.75| DI: 5.09375| EI: nan
Maze 69| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 2.125| IR: 0.46875| DI: 3.12890625| EI: 1.2515625
Maze 70| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.03125| IT: 2.03125| IR: 0.1875| DI: 1.961876832844575| EI: nan
Maze 71| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.09375| IT: 3.21875| IR: 0.03125| DI: 2.3080357142857144| EI: nan
Maze 72| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 0.0625| IR: 0.0| DI: 1.1484375| EI: 1.1484375
Maze 73| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.03125| IT: 0.65625| IR: 0.0| DI: 1.5381944444444444| EI: nan
Maze 74| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.03125| IT: 0.78125| IR: 0.03125| DI: 1.7008928571428572| EI: 1.7008928571428572
Maze 75| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0625| IT: 1.75| IR: 0.03125| DI: 1.715909090909091| EI: 1.715909090909091
Maze 76| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.03125| IT: 4.5| IR: 1.71875| DI: 6.013392857142858| EI: 1.6189903846153846
Maze 77| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0625| IT: 0.5625| IR: 0.0| DI: 1.732142857142857| EI: 0.485
Maze 78| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 0.1875| IR: 0.0| DI: 1.234375| EI: 1.234375
Maze 79| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.1875| IT: 2.28125| IR: 0.15625| DI: 1.9397321428571428| EI: 1.5974264705882353
Maze 80| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 0.125| IR: 0.0| DI: 1.25| EI: 1.25
Maze 81| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 0.03125| IR: 0.0| DI: 1.1145833333333335| EI: 1.1145833333333335
Maze 82| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 1.40625| IR: 0.0| DI: 1.789772727272727| EI: nan
Maze 83| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.40625| IT: 6.8125| IR: 2.34375| DI: 11.875| EI: 11.875
Maze 84| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 0.0625| IR: 0.0| DI: 1.109375| EI: 1.109375
Maze 85| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 0.21875| IR: 0.0| DI: 1.3229166666666667| EI: nan
Maze 86| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.03125| IT: 3.15625| IR: 0.03125| DI: 2.627840909090909| EI: 2.408854166666667
Maze 87| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 0.03125| IR: 0.0| DI: 1.171875| EI: 1.171875
Maze 88| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 2.5625| IR: 0.28125| DI: 2.982638888888889| EI: nan
Maze 89| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.09375| IT: 2.34375| IR: 0.0625| DI: 1.7259615384615383| EI: 1.7259615384615383
Maze 90| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.03125| IT: 1.28125| IR: 0.125| DI: 2.6116071428571423| EI: nan
Maze 91| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.03125| IT: 1.59375| IR: 0.03125| DI: 1.6935483870967742| EI: 1.563275434243176
Maze 92| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 0.5625| IR: 0.0| DI: 1.4965277777777777| EI: 0.6122159090909092
Maze 93| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 2.0| IR: 0.0| DI: 2.1363636363636362| EI: 0.8703703703703705
Maze 94| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.21875| IT: 2.625| IR: 0.125| DI: 2.05078125| EI: nan
Maze 95| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.09375| IT: 3.28125| IR: 0.3125| DI: 3.9488636363636362| EI: nan
Maze 96| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.09375| IT: 2.21875| IR: 0.0625| DI: 2.420138888888889| EI: 2.178125
Maze 97| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.09375| IT: 3.75| IR: 0.125| DI: 3.059659090909091| EI: 0.8629807692307692
Maze 98| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.3125| IT: 5.84375| IR: 0.28125| DI: 3.159090909090909| EI: nan
Maze 99| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 2.5625| IR: 0.28125| DI: 2.0982142857142856| EI: 1.7279411764705883
Maze 100| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0625| IT: 2.21875| IR: 0.09375| DI: 2.253125| EI: nan
Maze 101| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.3125| IT: 2.65625| IR: 0.15625| DI: 1.9708333333333334| EI: 1.478125
Maze 102| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.03125| IT: 4.71875| IR: 1.09375| DI: 5.77734375| EI: 5.77734375
Maze 103| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0625| IT: 2.28125| IR: 0.0625| DI: 1.7583333333333333| EI: 0.9094827586206896
Maze 104| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.09375| IT: 2.6875| IR: 0.09375| DI: 2.9201388888888893| EI: nan
Maze 105| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 1.6875| IR: 0.03125| DI: 1.7235576923076925| EI: 1.7235576923076925
Maze 106| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 1.78125| IR: 0.09375| DI: 1.9602272727272727| EI: 1.5401785714285714
Maze 107| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 2.21875| IR: 0.125| DI: 2.87890625| EI: 2.87890625
Maze 108| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.03125| IT: 2.03125| IR: 0.0625| DI: 1.6822916666666667| EI: 0.9176136363636364
Maze 109| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.09375| IT: 1.21875| IR: 0.09375| DI: 2.1215277777777777| EI: 0.9546875000000001
Maze 110| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 2.0625| IR: 0.09375| DI: 1.7666666666666666| EI: 1.5588235294117647
Maze 111| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.3125| IT: 4.15625| IR: 0.09375| DI: 3.7556818181818183| EI: nan
Maze 112| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0625| IT: 1.75| IR: 0.0| DI: 2.1761363636363633| EI: nan
Maze 113| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.0| IT: 0.9375| IR: 0.03125| DI: 1.75| EI: 1.75
Maze 114| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.03125| IT: 3.09375| IR: 0.03125| DI: 1.7354166666666668| EI: 1.4461805555555556
Maze 115| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.03125| IT: 1.78125| IR: 0.6875| DI: 5.1015625| EI: nan
Maze 116| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 1.875| IR: 0.0| DI: 1.9375| EI: 1.9375
Maze 117| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 4.53125| IR: 0.65625| DI: 4.3843749999999995| EI: nan
Maze 118| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.375| IT: 2.03125| IR: 0.0625| DI: 1.8013392857142856| EI: nan
Maze 119| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.125| IT: 2.1875| IR: 0.0625| DI: 1.7235023041474655| EI: 1.7235023041474655
Maze 120| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 2.34375| IR: 0.125| DI: 2.2875| EI: 2.0795454545454546
Maze 121| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.03125| IT: 1.46875| IR: 0.0625| DI: 1.7524038461538463| EI: 0.7855603448275861
Maze 122| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.125| IT: 2.1875| IR: 0.0625| DI: 2.0024038461538463| EI: 1.859375
Maze 123| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 5.0625| IR: 0.5| DI: 4.896875| EI: nan
Maze 124| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.03125| IT: 0.34375| IR: 0.0| DI: 1.3802083333333335| EI: 0.9201388888888888
Maze 125| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.09375| IT: 2.8125| IR: 0.03125| DI: 1.8020833333333333| EI: 1.4226973684210527
Maze 126| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 0.125| IR: 0.0| DI: 1.4017857142857142| EI: 0.98125
Maze 127| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.46875| IT: 5.84375| IR: 0.84375| DI: 4.4609375| EI: nan
Maze 128| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0625| IT: 1.90625| IR: 0.0625| DI: 1.8541666666666667| EI: 1.0113636363636365
Maze 129| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.28125| IT: 7.1875| IR: 1.46875| DI: 3.8365384615384617| EI: 3.8365384615384617
Maze 130| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 1.78125| IR: 0.03125| DI: 1.66015625| EI: 1.5625
Maze 131| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0625| IT: 0.25| IR: 0.0| DI: 1.3671875| EI: nan
Maze 132| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.0625| IT: 4.625| IR: 0.625| DI: 2.439516129032258| EI: nan
Maze 133| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.125| IT: 2.03125| IR: 0.375| DI: 2.892857142857143| EI: 2.892857142857143
Maze 134| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.125| IT: 3.25| IR: 0.0| DI: 1.78125| EI: 1.6764705882352942
Maze 135| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.09375| IT: 2.28125| IR: 0.0625| DI: 1.8629807692307692| EI: 0.9314903846153846
Maze 136| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0625| IT: 1.9375| IR: 0.21875| DI: 2.7638888888888893| EI: 2.4875
Maze 137| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.125| IT: 1.5625| IR: 0.09375| DI: 1.921875| EI: 1.921875
Maze 138| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.03125| IT: 0.8125| IR: 0.0| DI: 1.4453125| EI: 1.0511363636363638
Maze 139| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 0.9375| IR: 0.0| DI: 1.5| EI: 1.3636363636363638
Maze 140| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 1.125| IR: 0.03125| DI: 1.9968749999999997| EI: nan
Maze 141| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 0.03125| IR: 0.0| DI: 1.125| EI: 1.125
Maze 142| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.375| IT: 4.15625| IR: 0.09375| DI: 3.125| EI: nan
Maze 143| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.03125| IT: 3.90625| IR: 0.3125| DI: 3.607638888888889| EI: nan
Maze 144| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.1875| IT: 1.40625| IR: 0.0| DI: 1.65625| EI: 1.3013392857142856
Maze 145| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 0.0625| IR: 0.0| DI: 1.1796875| EI: 1.1796875
Maze 146| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.09375| IT: 3.25| IR: 0.28125| DI: 6.5625| EI: 1.514423076923077
Maze 147| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.125| IT: 2.25| IR: 0.0| DI: 1.942307692307692| EI: 1.8035714285714284
Maze 148| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.03125| IT: 1.5| IR: 0.375| DI: 3.609375| EI: 3.609375
